date;montant;description;sub_category_id;financial_flow_id
20/08/2025;52,08 €;La tête dans les raisins;Courses;2
20/08/2025;10,00 €;Manège;Courses;2
22/08/2025;2,90 €;La ferme de Chez Nous;Courses;2
22/08/2025;2,00 €;Boulangerie;Courses;2
26/08/2025;61,33 €;Super U;Courses;2
27/08/2025;131,69 €;EDF;Électricité;2
27/08/2025;1,25 €;Boulangerie;Courses;2
28/08/2025;17,20 €;Huttopia;Courses;2
29/08/2025;587,84 €;Elly - MAM;MAM;2
31/08/2025;16,49 €;Fizzer;Courses;2
01/09/2025;54,63 €;Peugeot 2008;Assurance voiture;2
01/09/2025;27,20 €;A-Qui-S (étiquettes);Courses;2
01/09/2025;79,44 €;GIFI;Courses;2
01/09/2025;10,08 €;Picard;Courses;2
02/09/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
03/09/2025;80,57 €;La Fourche;Courses;2
04/09/2025;14,73 €;La ferme de Chez Nous;Courses;2
04/09/2025;4,70 €;Boulangerie;Courses;2
05/09/2025;63,71 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
05/09/2025;52,37 €;Biocoop;Courses;2
07/09/2025;10,25 €;Boulangerie;Courses;2
09/09/2025;67,24 €;Hyper U;Courses;2
10/09/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/09/2025;277,70 €;PTZ (9 993€);PTZ;2
12/09/2025;14,00 €;Atlantic'Eau ;Eau;2
13/09/2025;9,00 €;Boucherie;Courses;2
13/09/2025;25,51 €;Peugeot 2008;Carburant;2
13/09/2025;14,80 €;Boulangerie;Courses;2
15/09/2025;18,60 €;Peugeot 2008;Carburant;2
15/09/2025;44,17 €;Hyper U;Courses;2
16/09/2025;62,00 €;Taxe habitation;Taxe foncière;2
17/09/2025;18,80 €;Bricomarché - tringles à rideau;Courses;2
19/09/2025;5,90 €;Intermarché;Courses;2
23/09/2025;35,76 €;Chlorophyle;Courses;2
23/09/2025;6,00 €;Boulangerie;Courses;2
26/09/2025;1,93 €;La Ferme de Chez Nous;Courses;2
26/09/2025;2,40 €;Boulangerie;Courses;2
26/09/2025;70,95 €;Moustiquaires;Courses;2
26/09/2025;19,35 €;Peugeot 2008;Carburant;2
29/09/2025;131,69 €;EDF;Électricité;2
30/09/2025;20,92 €;Peugeot 2008;Carburant;2
01/10/2025;17,83 €;Hyper U;Courses;2
01/10/2025;54,60 €;Peugeot 2008;Assurance voiture;2
01/10/2025;76,01 €;Cuisine à 12 mains;Courses;2
01/10/2025;23,21 €;Peugeot 2008;Carburant;2
01/10/2025;9,00 €;Glaces;Courses;2
01/10/2025;36,93 €;Elly - Manteaux;Courses;2
01/10/2025;13,80 €;Crêpes;Courses;2
07/10/2025;63,71 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
07/10/2025;15,90 €;Biocoop;Courses;2
10/10/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/10/2025;14,00 €;Atlantic'Eau ;Eau;2
12/10/2025;7,20 €;Boulangerie;Courses;2
16/10/2025;25,00 €;Taxe habitation;Taxe foncière;2
16/10/2025;24,06 €;Peugeot 2008;Carburant;2
16/10/2025;46,68 €;Leclerc;Courses;2
18/10/2025;162,50 €;Pickles;Courses;2
18/10/2025;3,70 €;Parking;Courses;2
